name,country_id
CASA DEL MOBILE SCAGLIONE SNC,27
CASA DELLO SCAMPOLO,27
CASA FUGIPE,27
CASA MODA,45
CASA VALENTINA SPA,27
CASA ZETA SRL,27
CASA ZETA SRL,27
CASABLANCA GMBH & Co. KG,20
CASABLANCA LEUCHTEN GMBH,20
CASADESUS,45
CASAGLAM SRL,27
CASAGLAM SRL (Billo e Pallina),27
CASAL,19
CASALEGNO TENDAGGI SPA,27
CASALGRANDE PADANA SPA,27
CASALI SRL,27
CASALIS,3
CASAMANCE GROUP,19
CASAMILANO,27
CASANOVA GANDIA SL,45
CASONE GROUP SRL,27
CASPANI TINO GROUP SRL,27
CASSINA,27
CAST IRON BATH COMPANY,16
CASTAGNA CUCINE SRL,27
CASTALDI LIGHTING SPA,27
CASTELLAN MOBILI,27
CASTELLO DEL BARRO,27
CASTIGLIONI,27
CASTILLA RIENDA SL,45
CASTILLA TEXTIL SL,45
CASTRO LIGHTING,41
CATALANO,27
CATELLANI&SMITH,27
CATTELAN ARREDAMENTI,27
CATTELAN ITALIA SPA,27
CAVA SRL,27
CAVEDUKE SL,45
CAVICCHI TESSUTI,27
CAVIO SRL,27
CE PATTBERG GMBH & CO KG,20
CEADESIGN SRL,27
CEBO SRL,27
CEBO SRL,27
CECCARELLI SNC,27
CECCOTTI,27
CELLI SPA,27
CELME SRL,27
CENEDESE,27
CENTER JESOLO LUX,27
CENTRO ACCESSORI SPA,27
CENTRO SERVIZI PROMOZIONALI PER LE IMPRESE -,27
CENTURY FURNITURE,52
CEPPI STYLE,27
CERACCHI ILLUMINAZIONE SPA,27
CERAMIC POLYMER GMBH,20
CERAMICA BRUNO COSTENARO,27
CERAMICA CIELO SPA,27
CERAMICA FONDOVALLE SPA,27
CERAMICA GLOBO SPA,27
CERAMICA GOMEZ,45
"CERAMICA MAYOR,S.A.",45
CERAMICA RONDINE,27
CERAMICA SANTAGOSTINO SPA,27
CERAMICAS APARICI SA,45
CERAMICHE ARTISTICHE FRATELLI LORENZON (SNC),27
CERAMICHE DAL PRA,27
CERAMICHE DUEPI SRL,27
CERAMICHE GARDENIA-ORCHIDEA SPA,27
CERAMICHE GRAZIA,27
CERAMICHE RICCHETTI SPA,27
CERAMICHE S.R.L.,27
CERAMICHE SETTECENTO VALTRESINARO SPA,27
CERAMICHE STELLA,27
CERAMICHE TREA SAS,27
CERAMIVA FLAMINIA SPA,27
CERASA SPA,27
CERCOS,45
CERDOMUS CERAMICHE,27
CERIONI,27
CERIOTTI SRL,27
CESAR ARREDAMENTI SPA,27
CETA DOO,44
CHAARME,27
CHADDER & CO LTD,16
CHANGZHOU GREEN LIGHTING CO LTD,11
CHANGZHOU GREEN LIGHTING MANUFACTURER CO LTD,11
CHARLES,19
CHASE ERWIN,16
CHEHOMA,3
CHELINI FERENZE SRL,27
CHELINI SPA,27
CHELSOM LTD,16
CHESNEY'S,16
CHESTNUT APPAREL INC,16
CHEVALIER EDITION,19
CHI DESIGN ITALIA SRL,27
CHIARA PROVASI,27
CHIARUGI HOME SRL,27
CHIAVEGATO SRL,27
CHIC ANTIQUE,15
CHICCA ORLANDO SRL,27
"CHIMENEAS BARCELONA, S.L.",45
CHRISTIAN FICHBACHER CO AG,47
CHRISTIAN FISHBACHER CO AG,20
CHRISTIAN MEYER SRL,27
CHRISTMAS INSPIRATIONS BV,36
CHRISTOFLE,19
CHRISTOPHER GUY,27
CHRISTOPHER HYDE LTD,16
CIA INTERNATIONAL,27
CIAC EXPORT SRL,27
CIAMBELLA LEGNAMI,27
CICIRIELLO SRL,27
CIEMME SRL,27
CIERRE IMBOTTITI SRL,27
CIFRE CERAMICA,45
CIG SRL,27
CILEK ODASI,50
CINCA COMPANHIA INDUSTRIAL DE CERAMICA SA,41
CINTAS Y PASAMANERIA SA,45
CINTAS Y PASAMANERIA SA,45
CIRCA,52
CIS -Compagnia Italiana Salotti,27
CISCO BROTHERS,52
CITEL SL,45
CIVIC SRL,27
CLARKE&CLARKE,16
CLARTES SRO,14
CLASSIC CUSTOM RUGS LTD,35
CLASSIC LIGHT SRL,27
CLASSIC STYLE,27
CLAUDIA BARBARI,27
CLAYRE & EEF BV,36
CLEI SRL,27
CLERION SPA,27
CLERION SPA,27
CLETO MUNARI,27
CLEVERTECH SPA,27
CLUB HOUSE ITALIA,27
CMDA SRL,27
CMS SPA,27
CO GE FIN SRL,27
COBRA ART COMPANY,36
COCOONS & CO,3
CODITAL,27
COEM SPA,27
COGAN SRL,27
COIM SCV,45
COLAVENE SPA,27
COLECCION ALEXANDRA SL,45
COLEFAX AND FOWLER,16
COLICO DESIGN SRL,27
COLLECTION PIERRE,19
COLOMBINI GROUP SPA,27
COLOMBO DESIGN SPA,27
COLOMBO MOBILI,27
COLOMBOSTILE SPA,27
COLOMSTILE SPA,27
COLONIAL CLUB VALENCIA SL,45
COLONIAL CLUB VSC,45
COLONTORIO MOBILIFICIO D ARTE SAS,27
COLONY SRL,27
COLORSERVICE,27
COLORTEX 1967 SL,45
COLUMBUS,27
COM P AR SRL,27
COMACON,45
COMERCIAL GODEMA SL,45
COMERSAN SA,45
COMPARATO NELLO SRL,27
COMPARLUX GMBH,20
COMPLEMENTOS DEL TIEMPO SL,45
COMPOSIT SRL,27
COMPREX SRL,27
CONCERIA COCCO SRL,27
CONCRETA CUCINE SRL,27
CONFIDEX LOGISTICS UAB,30
CONFORT DINA S.L.,45
CONFORTLINE SRL,27
CONSTANTINI PIETRO SRL,27
CONTARDI LIGHTING SRL,27
CONTE SRL,27
CONTEMPORANEA SRL,27
CONTRACT SERVICE SRL,27
"CONTRADICTIONS, S.L.U.",45
CONTRAL SRL,27
COOPERATIVA CERAMICA D IMOLA SC,27
COPART CUADROS SL,45
COPENLAMP,45
COPLEY SCIENTIFIC LTD,16
COR,20
COR MULDER EXOTICA,20
CORDOBESA DE ILUMINACION S.L.,45
COREN SAS,27
CORITEX,45
CORNELI SRL,27
CORNELIO CAPPELLINI SRL,27
CORNU 1887,19
CORTE ZARI,27
CORTIMOVEIS,41
COSIF,27
COSTA PEREIRA MOBILIARIO,41
COSTANTINI PIETRO SRL,27
COSTERA MOBLES,45
COSY SRL,27
COTTO VENETO GROUP SPA,27
COULEURS & MATIERES,19
COVET GROUP,41
COX LONDON LTD,16
CP MOBILI SAS,27
CPA SRL,27
CPRN HOMOOD,27
CRAFT ASSICATES,52
CRAFT ASSOCIATES FURNITURE,52
CRAZY JUMP,27
CRE ART SRL,27
CREACIONES CORDON SL,45
CREACIONES EUROMODA SL,45
CREACIONES FEJOMI SL,45
CREACIONES NADAL SL,45
CREADORE,45
CREATIONS METAPHORES,19
CREATIVE CABLES,30
CREATIVE LIGHT,20
CREATIVEMARY BY RADIANTDETAIL,41
CREMASCO ILLUMINAZIONE SNC,27
CRIARJO SIGLO XXI S.L.,45
CRILU DI LUCIO CRISTIANA,27
CRIPPA LUMI SRL,27
CRISTAL & BRONZE SAS,19
CRISTAL ET BRONZE SAS,19
CRISTAL MARBRE,19
CRISTALLERIE DE MONTBRONN,19
CRIVELLI SRL,27
CROCE GIOVANNI & FIGLIO SNC,27
CROCE SRL,27
CROSSFIRE SRL,27
CROSSLEE PLC,16
CRUMAR PROJECT,45
CRYSTAL MUSIC COMPANY,36
CRYSTALITE,45
CS CARGO,14
CST SRL,27
CTO lighting,16
CTS PROJECTS SRL,26
CTS SALOTTI SRL,27
CTS SPA,27
CUADROS MANISES,45
CUB-AR,19
CUBO DESIGN SRL,27
CUCINE ZACCARIOTTO SRL,27
CUELLAR,45
CUGINI MARZORATI SNC,27
CULTI SRL,27
CURREY & COMPANY INC,52
CURT BAUER GMBH,20
CUTIPOL FACTORY,41
CV JAYA,24
CVL LUMINAIRE,19
CYG ELECTRONICS,11
Calico Wallpaper,52
Calor Color S.L.,45
Cascos,45
Ceramiche Supergres,27
Cima arredobagno,27
Coco Collection (Ella Elli),27
Covet LDA,41
Creazioni,27
D ANGELI MOBILI SNC,27
D LECHNER GMBH,20
D&O GMBH,20
DABEDAN,45
DADA,27
DALE SILVIO SRL,27
DALL AGNESE SPA,27
DALL'AGNESE S.P.A.,27
DALLA BENETTA LUIGI srl,27
DALLA VALLE GIUSEPPE& C,27
DALLA VALLE ILLUMINAZIONE,27
DANDOU,11
DANFORM,15
DANIEL RUBINETTERIE SPA,27
DANONA,45
DANTI DIVANI,27
DAR LIGHTING LTD,16
DAUM,19
DAVID HUNT,16
DAVID WEEKS STUDIO,52
DAVIDE GROPPI SRL,27
DAVIDSON,16
DAVIL TRAVERTINI SRL,27
DCW ENTERPRISES,1
DE BREUYN MOBEL GMBH,20
DE CASTELI,27
DE CLEER DENNIS,3
DE LA ESPADA,41
DE LAMERIE,16
DE MAJO,27
DE SCHIPPER SLAPEN EN MEER,36
DEA-PEL,27
DEC SRL,27
DECCA FURNITURE APS,19
DECCA HOME FURNITURE,16
DECO DESIGN FURUS,20
DECOBEL srl,27
DECODESK,45
DECOR 215 INC,52
DECOR IN SPA,27
DECOR WALTHER,20
DECORA ITALIA SRL,27
DECORACION EL DORADO,45
DECORARCHER,45
DECORATIVE GRAFTS,16
DECORATUM SP ZOO,40
DECORTEX FIRENZE SRL,27
DEDAR,27
DEDIMORA,27
DEKORA SPA,27
DEKORATIEF BVBA,3
DEL CURTO SRL,27
DEL FOOD COMMERCE,45
DEL TONGO,27
DELIGHTFULL,41
DELIGHTFULL (Secret brands Lda),41
DELIUS,20
DELLA ROVERE,27
DELMONTE SRL,27
DELTA LIGHT,27
DELTA MOSAIC SRL,27
DELTA SALOTTI SRL,27
DEMA E UN MARCHIO DESI SRL,27
DEMIGUEI FURNITURE SL,45
DEMO SRL,27
DENNIS MILLER,52
DESALTO SPA,27
DESIGN BY BESSA,41
DESIGN COLLECTION APS,15
DESIGN ERICK VAN EGERAAT,36
